Bolivia,Plurinational State of Bolivia,Sucre,"[u'BOB', u'BOV']",Americas,South America
Brazil,Federative Republic of Brazil,Brasilia,[u'BRL'],Americas,South America
Barbados,Barbados,Bridgetown,[u'BBD'],Americas,Caribbean
Brunei,"Nation of Brunei, Abode of Peace",Bandar Seri Begawan,[u'BND'],Asia,South-Eastern Asia
Bhutan,Kingdom of Bhutan,Thimphu,"[u'BTN', u'INR']",Asia,Southern Asia
Bouvet Island,Bouvet Island,,[u'NOK'],,
Botswana,Republic of Botswana,Gaborone,[u'BWP'],Africa,Southern Africa
Central African Republic,Central African Republic,Bangui,[u'XAF'],Africa,Middle Africa
Canada,Canada,Ottawa,[u'CAD'],Americas,Northern America
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands,West Island,[u'AUD'],Oceania,Australia and New Zealand
Switzerland,Swiss Confederation,Bern,"[u'CHE', u'CHF', u'CHW']",Europe,Western Europe
Chile,Republic of Chile,Santiago,"[u'CLF', u'CLP']",Americas,South America
China,People's Republic of China,Beijing,[u'CNY'],Asia,Eastern Asia
Ivory Coast,Republic of Cote d'Ivoire,Yamoussoukro,[u'XOF'],Africa,Western Africa
Cameroon,Republic of Cameroon,Yaounde,[u'XAF'],Africa,Middle Africa
DR Congo,Democratic Republic of the Congo,Kinshasa,[u'CDF'],Africa,Middle Africa
Republic of the Congo,Republic of the Congo,Brazzaville,[u'XAF'],Africa,Middle Africa
Cook Islands,Cook Islands,Avarua,[u'NZD'],Oceania,Polynesia
Colombia,Republic of Colombia,Bogota,[u'COP'],Americas,South America
Comoros,Union of the Comoros,Moroni,[u'KMF'],Africa,Eastern Africa
Cape Verde,Republic of Cabo Verde,Praia,[u'CVE'],Africa,Western Africa
Costa Rica,Republic of Costa Rica,San Jose,[u'CRC'],Americas,Central America
Cuba,Republic of Cuba,Havana,"[u'CUC', u'CUP']",Americas,Caribbean
Curacao,Country of Curacao,Willemstad,[u'ANG'],Americas,Caribbean
Christmas Island,Territory of Christmas Island,Flying Fish Cove,[u'AUD'],Oceania,Australia and New Zealand
Cayman Islands,Cayman Islands,George Town,[u'KYD'],Americas,Caribbean
Cyprus,Republic of Cyprus,Nicosia,[u'EUR'],Europe,Eastern Europe
Czech Republic,Czech Republic,Prague,[u'CZK'],Europe,Eastern Europe
Germany,Federal Republic of Germany,Berlin,[u'EUR'],Europe,Western Europe
Djibouti,Republic of Djibouti,Djibouti,[u'DJF'],Africa,Eastern Africa
Dominica,Commonwealth of Dominica,Roseau,[u'XCD'],Americas,Caribbean
Denmark,Kingdom of Denmark,Copenhagen,[u'DKK'],Europe,Northern Europe
Dominican Republic,Dominican Republic,Santo Domingo,[u'DOP'],Americas,Caribbean
Algeria,People's Democratic Republic of Algeria,Algiers,[u'DZD'],Africa,Northern Africa
Ecuador,Republic of Ecuador,Quito,[u'USD'],Americas,South America
Egypt,Arab Republic of Egypt,Cairo,[u'EGP'],Africa,Northern Africa
Eritrea,State of Eritrea,Asmara,[u'ERN'],Africa,Eastern Africa
Western Sahara,Sahrawi Arab Democratic Republic,El Aaiun,"[u'MAD', u'DZD', u'MRO']",Africa,Northern Africa
Spain,Kingdom of Spain,Madrid,[u'EUR'],Europe,Southern Europe
Estonia,Republic of Estonia,Tallinn,[u'EUR'],Europe,Northern Europe
Ethiopia,Federal Democratic Republic of Ethiopia,Addis Ababa,[u'ETB'],Africa,Eastern Africa
Finland,Republic of Finland,Helsinki,[u'EUR'],Europe,Northern Europe
Fiji,Republic of Fiji,Suva,[u'FJD'],Oceania,Melanesia
Falkland Islands,Falkland Islands,Stanley,[u'FKP'],Americas,South America
France,French Republic,Paris,[u'EUR'],Europe,Western Europe
Faroe Islands,Faroe Islands,Torshavn,[u'DKK'],Europe,Northern Europe
Micronesia,Federated States of Micronesia,Palikir,[u'USD'],Oceania,Micronesia
Gabon,Gabonese Republic,Libreville,[u'XAF'],Africa,Middle Africa
United Kingdom,United Kingdom of Great Britain and Northern Ireland,London,[u'GBP'],Europe,Northern Europe
Georgia,Georgia,Tbilisi,[u'GEL'],Asia,Western Asia
Guernsey,Bailiwick of Guernsey,St. Peter Port,[u'GBP'],Europe,Northern Europe
Ghana,Republic of Ghana,Accra,[u'GHS'],Africa,Western Africa
Gibraltar,Gibraltar,Gibraltar,[u'GIP'],Europe,Southern Europe
Guinea,Republic of Guinea,Conakry,[u'GNF'],Africa,Western Africa
Guadeloupe,Guadeloupe,Basse-Terre,[u'EUR'],Americas,Caribbean
Gambia,Republic of the Gambia,Banjul,[u'GMD'],Africa,Western Africa
Guinea-Bissau,Republic of Guinea-Bissau,Bissau,[u'XOF'],Africa,Western Africa
Equatorial Guinea,Republic of Equatorial Guinea,Malabo,[u'XAF'],Africa,Middle Africa
Greece,Hellenic Republic,Athens,[u'EUR'],Europe,Southern Europe
Grenada,Grenada,St. George's,[u'XCD'],Americas,Caribbean
Greenland,Greenland,Nuuk,[u'DKK'],Americas,Northern America
Guatemala,Republic of Guatemala,Guatemala City,[u'GTQ'],Americas,Central America
French Guiana,Guiana,Cayenne,[u'EUR'],Americas,South America
Guam,Guam,Hagatna,[u'USD'],Oceania,Micronesia
Guyana,Co-operative Republic of Guyana,Georgetown,[u'GYD'],Americas,South America
Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,City of Victoria,[u'HKD'],Asia,Eastern Asia
Heard Island and McDonald Islands,Heard Island and McDonald Islands,,[u'AUD'],,
Honduras,Republic of Honduras,Tegucigalpa,[u'HNL'],Americas,Central America
Croatia,Republic of Croatia,Zagreb,[u'HRK'],Europe,Southern Europe
Haiti,Republic of Haiti,Port-au-Prince,"[u'HTG', u'USD']",Americas,Caribbean
Hungary,Hungary,Budapest,[u'HUF'],Europe,Eastern Europe
Indonesia,Republic of Indonesia,Jakarta,[u'IDR'],Asia,South-Eastern Asia
Isle of Man,Isle of Man,Douglas,[u'GBP'],Europe,Northern Europe
India,Republic of India,New Delhi,[u'INR'],Asia,Southern Asia
British Indian Ocean Territory,British Indian Ocean Territory,Diego Garcia,[u'USD'],Africa,Eastern Africa
Ireland,Republic of Ireland,Dublin,[u'EUR'],Europe,Northern Europe
Iran,Islamic Republic of Iran,Tehran,[u'IRR'],Asia,Southern Asia
Iraq,Republic of Iraq,Baghdad,[u'IQD'],Asia,Western Asia
